Region_ID,County,Technology_Adoption,E_and_WD_Activities
1,Lake,0,423
1,Porter,0,51
1,LaPorte,3,551
1,Starke,0,701
1,Pulaski,1,0
1,Jasper,0,63
1,Newton,0,40
2,StJoseph,0,9027
2,Elkhart,5,139
2,Marshall,1,1124
2,Kosciusko,3,1080
2,Fulton,2,130
3,LaGrange,0,0
3,Steuben,1,0
3,Noble,0,0
3,DeKalb,0,2
3,Whitley,1,41
3,Allen,10,607
3,Wabash,2,0
3,Huntington,1,0
3,Wells,2,0
3,Adams,0,0
3,Grant,0,0
4,Benton,0,0
4,White,0,373
4,Cass,2,202
4,Miami,0,533
4,Carroll,0,56
4,Warren,2,0
4,Tippecanoe,7,22187
4,Clinton,1,46
4,Howard,1,167
4,Tipton,0,301
4,Fountain,0,0
4,Montgomery,1,22
5,Boone,0,0
5,Hamilton,1,1037
5,Madison,0,94
5,Hendricks,2,46
5,Hancock,0,0
5,Morgan,1,0
5,Johnson,0,159
5,Shelby,1,101
6,Blackford,0,0
6,Jay,1,0
6,Delaware,0,0
6,Randolph,1,0
6,Henry,0,16
6,Wayne,0,437
6,Rush,0,0
6,Fayette,0,0
6,Union,0,0
7,Vermillion,0,0
7,Parke,0,0
7,Putnam,0,0
7,Vigo,1,0
7,Clay,0,0
7,Sullivan,0,301
8,Owen,0,0
8,Greene,0,0
8,Monroe,1,44
8,Brown,0,51
8,Daviess,0,0
8,Martin,0,6
8,Lawrence,0,102
8,Orange,0,6
9,Franklin,1,0
9,Decatur,0,139
9,Bartholomew,1,1244
9,Jackson,1,28
9,Jennings,0,457
9,Ripley,0,1348
9,Dearborn,2,13
9,Ohio,0,12
9,Switzerland,0,28
9,Jefferson,1,0
10,Washington,0,101
10,Scott,0,448
10,Clark,0,502
10,Floyd,0,300
10,Crawford,0,300
10,Harrison,0,401
11,Knox,0,439
11,Gibson,0,44
11,Pike,0,501
11,Dubois,1,103
11,Posey,0,0
11,Vanderburgh,2,6
11,Warrick,0,0
11,Spencer,0,0
11,Perry,0,101
12,Marion,11,4285
