Organization,Category,Mission/Goals,Service Area (Region),County,Also Serving,Region,Website,Contact Person,Email,Phone
A.K. Smith Career Center,CTE Center,"Vision: To provide students an opportunity to learn through classroom, lab and real world experiences, which will enable them to compete in our ever-changing highly technical global society. Mission: To use emerging and traditional technologies to enhance educational skills in a work oriented environment.","School Corporations : #4925 Michigan City, #4770 Cass Township, #4790 Dewey Township, #4860 New Durham, #4880 Prairie Township, #4805 New Prairie #4940 South Central, #4945 Laporte",LaPorte,"Porter, St. Joseph",1,http://www.mcas.k12.in.us/careertech ,Audra Peterson,apeterson01@mcas.k12.in.us,219-873-2120 Ext. 8709
AK Smith Career Center,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.","School Corporations : #4925 Michigan City, #4770 Cass Township, #4790 Dewey Township, #4860 New Durham, #4880 Prairie Township, #4805 New Prairie #4940 South Central, #4945 Laporte",LaPorte,"Porter, St. Joseph",1,http://www.mcas.k12.in.us/careertech ,Sandra Mosley,smosley@gotoworkonenw.com,219-981-4100
Area Career Center of Hammond,CTE Center,"The Area Career Center prepares career and technical education students with career and college readiness skills to succeed, adapt to change and to become life-long learners in an ever changing global society.","School Corporations : #4710 Hammond, #4720 Highland, #4760 Whiting School City, #4615 Lake Central, #4700 Griffith, #4740 Munster , #4680 Lake Station , #4650 Lake Ridge",Lake,n/a,1,http://50.201.104.116/acc/,Mike Zimmerman,mdzimmerman@hammond.k12.in.us,219-933-2428 Ext. 1910
Boys & Girls Club of NW Indiana,School Age Program,"The Boys and Girls Club provides a strong emphasis on school work and character development. We are fortunate to have a strong partnership with the Boys and Girls Club.Soccer Program - Nov-March, $25/per member","Lake, Porter county residents",Lake,Porter,1,www.bgcnwi.org,Michelle O'Brien,mobrien@bgcnwi.org,(219) 374-5306
Boys & Girls Clubs Kidstop,School Age Program,"We are located in the child's school before and after. We offer physical activity, team building skills, homework help, and friendly environment for all children.",Porter county residents,Porter,n/a,1,www.bgcpoco.org,Maggie Freeman,mfreeman@bgcpoco.org,(219) 464-7282
Boys & Girls Clubs of Porter County,School Age Program,"The Boys & Girls Clubs of Porter County offers KidsCamp to any child ages 6 to 12 years old. KidsCamp offers the best of both indoor and outdoor fun and learning.  KidsCamp is run out of three Boys & Girls Clubs that are air conditioned and climate controlled. Our day camp features a wide variety program activities including (but not limited to):·       learning and educational activities including environmental education ·       health & fitness, team sports, and gym activities·       fun & cooperative games both indoors and out ·       arts & crafts ·       special events, guest speakers ·       local parks ·       community service and environmental science projects A light morning & afternoon snack is offered each day.",Porter county residents,Porter,n/a,1,www.bgcpoco.org,Maggie Freeman,mfreeman@bgcpoco.org,(219) 464-7282
"Bright Beginnings Academy, Inc.",Child Care Center,Lesson plans for each week are prepared to focus on the developmental needs of each age group. We also teach Spanish and French.,"Lake, Porter county residents",Lake,Porter,1,www.sunnyscorner.com,Marty Johnson,bba@sunnyscorner.com,(219) 736-7789
Calumet New Tech High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",Lake Ridge Schools,Lake,n/a,1,http://www.lakeridge.k12.in.us/site/Default.aspx?PageID=528 ,Sandra Mosley,smosley@gotoworkonenw.com,219-981-4100
Charter School of the Dunes,School Age Program,Not provided,Lake county residents,Lake,n/a,1,,Rachel Fleming,,(219) 939-9690
Community Organization of Social Concerns,Head Start,"Head Start promotes school preparation by enhancing the social and cognitive development of children through the provision of educational, health, nutritional, social and other services.",5 locations in Michigan City,LaPorte,n/a,1,,Not Readily Available,headstartmc@sbcglobal.net,(219) 879-8337
Crown Point Community Sch Corp,School Discticts /Corporations,,,Lake,,1,,,,
Duneland School Corporation,School Discticts /Corporations,,,Porter,,1,,,,
East Chicago Central High School,CTE Center,Not readily available.,School Corporations : #4670 School City of East Chicago,Lake,n/a,1,,Robyn Payne,sfinley@ecps.org,219-391-4000 Ext. 4069
East Chicago Central High School,JAG,"Jobs for America's Graduates (JAG) is a state-based national non-profit organizatoin dedicated to preventing dropouts among young people who are most at-risk. JAG helps young people stay in school through graduation, pursue postsecondary education and secure quality entry-level jobs leading to career advancement opportunities.",School City of East Chicago,Lake,n/a,1,http://central.scec.k12.in.us/ ,Sandra Mosley,smosley@gotoworkonenw.com,219-981-4100
East Porter County School Corp,School Discticts /Corporations,,,Porter,,1,,,,
Eastern Pulaski Com Sch Corp,School Discticts /Corporations,,,Pulaski,,1,,,,
