Organization,Category,Mission/Goals,Service Area (Region),County,Also Serving,Region,Website,Contact Person,Email,Phone
Calumet College of St Joesph,Post-Secondary Education,"Calumet College of St. Joseph is a Catholic institution of higher learning dedicated to the academic, spiritual and ethical development of undergraduate and graduate students.  Informed by the values of its founding religious community, the Missionaries of the Precious Blood (C.PP.S.), the College promotes the inherent dignity of all people, social justice, an ethic of service, student empowerment, opportunity, and lifelong learning.",1,Lake,n/a,1,www.ccsj.edu,n/a,n/a,(219) 473-7770
Indiana University- Northwest,Post-Secondary Education,"The institution strives to create a community dedicated to the pursuit of knowledge and intellectual development, leading to undergraduate and selected graduate degrees in the liberal arts, sciences and professional disciplines. The campus is strongly dedicated to the value of education, lifelong learning, diversity, celebration of cultures and opportunity for all, as well as to participating in the sustainable economic development of the region and of the state. Indiana University Northwest is committed to the health and well-being of the communities it serves.",1,Lake,n/a,1,www.iun.edu,n/a,n/a,(219) 980-6500
ITT Tech-Chicagoland,Post-Secondary Education,"The ITT Technical Institutes are a leading private college system focused on technology-oriented programs of study. The ITT Technical Institutes predominantly offer career-focused, degree programs to students.",Statewide,Lake,,1,http://www.itt-tech.edu/,n/a,n/a,219-738-6100
Ivy Tech Community College- East Chicago,Post-Secondary Education,"Ivy Tech Community College prepares Indiana residents to learn, live, and work in a diverse and globally competitive environment by delivering professional, technical, transfer and lifelong education.  Through its affordable, open-access education and training programs, the College enhances the development of Indiana's citizens and communities and strengthens its economy",1,Lake,n/a,1,http://www.ivytech.edu/,n/a,n/a,219-392-3600
Ivy Tech Community College-Gary,Post-Secondary Education,"Ivy Tech Community College prepares Indiana residents to learn, live, and work in a diverse and globally competitive environment by delivering professional, technical, transfer and lifelong education.  Through its affordable, open-access education and training programs, the College enhances the development of Indiana's citizens and communities and strengthens its economy",1,Lake,n/a,1,http://www.ivytech.edu/,n/a,n/a,219-981-1111
Ivy Tech Community College-Michigan City,Post-Secondary Education,"Ivy Tech Community College prepares Indiana residents to learn, live, and work in a diverse and globally competitive environment by delivering professional, technical, transfer and lifelong education.  Through its affordable, open-access education and training programs, the College enhances the development of Indiana's citizens and communities and strengthens its economy",1,LaPorte,n/a,1,http://www.ivytech.edu/,n/a,n/a,219-879-9137
Ivy Tech Community College-Valparaiso,Post-Secondary Education,"Ivy Tech Community College prepares Indiana residents to learn, live, and work in a diverse and globally competitive environment by delivering professional, technical, transfer and lifelong education.  Through its affordable, open-access education and training programs, the College enhances the development of Indiana's citizens and communities and strengthens its economy",1,Porter,n/a,1,http://www.ivytech.edu/,n/a,n/a,219-464-8514
Purdue University Calumet,Post-Secondary Education,"Through our culture of success, we positively influence the lives of our students with experiential learning activities, instilling in them critical thinking skills, an understanding of business functions and an ethical, inclusive and global mindset. We also positively influence the lives of our colleagues with professional development experiences and the ability to provide service and produce relevant scholarly work that impacts the classroom, the surrounding community, the business world and disciplinary professions.",1,Lake,n/a,1,http://webs.purduecal.edu/,n/a,n/a,219-989-2400
Purdue University-North Central,Post-Secondary Education,"The mission of Purdue University North Central, a regional campus of Purdue University is based on the tradition of a land grant university (Learning, Discovery, and Engagement). Through Learning, the primary mission of this university, the campus offers all students educational programs and services that foster student success and goal attainment in a student-centered environment. Through Discovery, the campus encourages the creation of new knowledge, products, processes and applications through research and scholarship. The cooperative efforts of students, faculty and staff are essential for success. Through Engagement, the campus partners with and assists alumni, community members, businesses and organizations. These activities involve all members of the campus, including students, through transfer of knowledge, consulting, service learning, volunteerism, economic development and related activities.",1,LaPorte,n/a,1,www.pnc.edu,n/a,n/a,(219) 785-5200
Saint Joseph's College,Post-Secondary Education,"Saint Joseph's College (Indiana), a primarily undergraduate Catholic college, founded and sponsored by the Missionaries of the Precious Blood, pledges itself to a tradition of excellence and to a liberal education that is a united endeavor of intelligence and faith.",1,Jasper,n/a,1,www.saintjoe.edu,n/a,n/a,(219) 866-6000
