Organization,Category,Mission/Goals,Service Area (Region),County,Also Serving,Region,Website,Contact Person,Email,Phone
A.K. Smith Career Center,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ","LaPorte, Porter, and St. Joseph counties.",LaPorte,"Porter, St. Joseph",1,http://www.mcas.k12.in.us/careertech,Not Readily Available,Not Readily Available,"(219) 873-2120, Ext. 6 "
Chesterton Adult Learning Center,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ",Porter County.,Porter,n/a,1,http://www.wpl.lib.in.us/Adult-Learning-Center.html ,Not Readily Available,Not Readily Available,(219) 921-0567
Crown Point Adult Learning Center,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ",Lake County.,Lake,n/a,1,Not Readily Available,Not Readily Available,crownpointalc@innovativeworkforce.com,(219) 663-5465
East Chicago Central High School,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ",Lake County.,Lake,n/a,1,http://central.scec.k12.in.us/ ,Not Readily Available,http://www.scec.k12.in.us ,(219) 391-4000 ext 4060
Gary Area Career Center,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ",Lake County.,Lake,n/a,1,http://www.garycsc.k12.in.us/schools/gary-area-career-center/ ,Not Readily Available,Not Readily Available,(219) 963-2085
Hammond Area Career Center,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ",Lake County.,Lake,n/a,1,http://50.201.104.116/acc/ ,Not Readily Available,Not Readily Available,(219) 933-2419
Hobart Adult Learning Center,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ",Lake County.,Lake,n/a,1,Not Readily Available,Not Readily Available,hobartalc@innovativeworkforce.com ,(219) 942-2243 ext. 317
Jasper County Adult Learning Center ,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ",Jasper County.,Jasper,n/a,1,Not Readily Available,Not Readily Available,demottealc@innovativeworkforce.com ,219-863-9145
Lake Ridge Adult Education,ABE,"Vision: LRS will be a transformational school community dedicated to excellence in education and having high expectations for students, staff, and community. Mission: Lake Ridge Schools is Changing Learning, Changing Lives, Inspiring Lifelong Possibilities. ",Lake County.,Lake,n/a,1,http://lakeridge.k12.in.us,Not Readily Available,Not Readily Available,219-989-7816
Lowell Adult Learning Center,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ",Lake County.,Lake,n/a,1,Not Readily Available,Not Readily Available,lowellalc@innovativeworkforce.com ,(219) 696-6777
Merrillville Adult Education,ABE,Our MISSION is to assist individuals with the learning process by earning a High School Equivalency diploma by taking the TASC (Test Assessing Secondary Completion) test.  ,Lake County.,Lake,n/a,1,http://www.mvsc.k12.in.us/adulteduc/ ,Not Readily Available,adulteduc@mvsc.k12.in.us ,(219) 650-5310
Newton County Adult Learning Center,ABE,NCAE's mission is to provide quality education services to any citizen of Newton County.,Newton County.,Newton,n/a,1,Not Readily Available,Not Readily Available,Not Readily Available,(219) 285-8005
Pulaski County Adult Learning Center,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ",Pulaski County.,Pulaski,n/a,1,Not Readily Available,Not Readily Available,pulaskialc@innovativeworkforce.com ,(574) 242-0131
Starke County Adult Learning Center,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ",Starke County.,Starke,n/a,1,Not Readily Available,Not Readily Available,starkealc@innovativeworkforce.com ,(574) 249-8720
The Portage Adult Learning Center,ABE,"Mission: to offer Indiana students a viable opportunity to earn their high school diploma and to gain the skills necessary for success in an ever changing global economy by cultivating a community of engaged, collaborative, and reflective learners and citizens. ",Porter County,Porter,n/a,1,http://www.neoadulted.org/domain/70 ,Not Readily Available,PALC@neoadulted.org ,(219) 850-4331
Tri-Town Adult Learning Center,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ",Lake County.,Lake,n/a,1,http://www.tri-town.org/Services/EmploymentEducationTraining/tabid/167/Default.aspx ,Not Readily Available,tritownalc@innovativeworkforce.com ,(219) 322-6700
Valparaiso Adult Learning Center,ABE,"Indiana Adult Education programs provide math, reading, and writing instructionfree of charge to help you acquire the skills needed to earn a high school equivalency, go to college, or enter an entry-level occupational certification program. ",Porter County.,Porter,n/a,1,Not Readily Available,Not Readily Available,valparaisoalc@innovativeowkrforce.com ,(219) 462-4230
WorkOne - Gary,WorkOne,"The WorkOne Center is the heart of the workforce development system. It's where WorkOne staff help people find a new or better job, choose a career, access training or get the information needed to succeed in today's job market.",Lake county residents and employers.,Lake,n/a,1,http://gotoworkonenw.com/ ,Not Readily Available,Not Readily Available,(219) 981-1520
WorkOne - Hammond,WorkOne,"The WorkOne Center is the heart of the workforce development system. It's where WorkOne staff help people find a new or better job, choose a career, access training or get the information needed to succeed in today's job market.",Lake county residents and employers.,Lake,n/a,1,http://gotoworkonenw.com/ ,Not Readily Available,Not Readily Available,(219) 933-8332
WorkOne - LaPorte - Sagamore Center,WorkOne,"The WorkOne Center is the heart of the workforce development system. It's where WorkOne staff help people find a new or better job, choose a career, access training or get the information needed to succeed in today's job market.",LaPorte county residents and employers.,LaPorte,n/a,1,http://gotoworkonenw.com/ ,Not Readily Available,Not Readily Available,(219) 362-2175
