Organization,Category,Mission/Goals,Service Area (Region),County,Also Serving,Region,Website,Contact Person,Email,Phone
Jasper County Economic Development Organization,Local Economic Development Organization,"JCEDO was established in 1986 to assist businesses and individuals evaluate the opportunities that exist in Jasper County, Indiana and offers a comprehensive array of professional economic development services provided in a prompt, thorough and efficient manner.",Jasper County,Jasper,n/a,1,www.jaspercountyin.com,Kevin Kelly,kevin@jaspercountyin.com,219.866.3080
Lake County IN Economic Alliance,Local Economic Development Organization,The Lake County IN Economic Alliance (LCEA) works to strengthen the economic base and quality of life in its communities by supporting the growth of business and attracting new quality investment that results in greater employment opportunities in NWI.,Lake County,Lake,n/a,1,www.lcea.us,Don Koliboski,dkoliboski@lcea.us,219.756.4317
Greater La Porte Economic Development Corporation,Local Economic Development Organization,"The Greater La Porte Economic Development Corporation (GLEDC) was formed in 2001 to provide La Porte with a ""One Stop Shop"" for all business needs. GLEDC provides prospect development, project development, project coordination, and retention & expansion services. GLEDC will assist you through the entire business development process.",LaPorte County,LaPorte,n/a,1,www.gledc.com,Bert Cook,bertc@gledc.com,219.324.8584
Newton County Economic Development,Local Economic Development Organization,Not readily available.,Newton County,Newton,n/a,1,www.newtoncounty.in.gov,Patrick Ryan,patrickryan@earthlink.net,219.285.0189
Northwest Indiana Forum-A,Local Economic Development Organization,"The Forum works to create a positive business climate promoting investment and job creation. Two critical components of a sustainable regional economy. Enabling this grown includes stable tax policies, reasonable operations and living costs and a workable regulatory environment that protects the quality of life and does not inhibit growth and opportunities.",Porter County,Porter,n/a,1,www.nwiforum.org,Don Koliboski,dkoliboski@nwiforum.org,219.763.6303
"Pulaski Community Development Commission of Pulaski County, Indiana",Local Economic Development Organization,Not readily available.,Pulaski County,Pulaski,n/a,1,www.pulaskionline.org,Nathan Origer,nporiger@pulaskionline.org,574.946.3869
Starke County Economic Development Foundation,Local Economic Development Organization,"The mission of the Starke County Economic Development Foundation is to assist in the creation, retention and reinvestment of resources that increase the economic opportunities and improve the quality of life for Starke County citizens.",Starke County,Starke,n/a,1,www.scedf.biz,Charles Weaver,execdir@scedf.biz,574.772.5627
Northwest Indiana Forum-B (Porter),Regional Economic Development Organization,"The Northwest Indiana Forum is the regional voice for the business community and the premier source of a full package of services that promote economic development and retention of quality jobs. With more than 130 member organizations, the Forum’s mission is to increase the broad-based wealth in Northwest Indiana through economic development.","Lake, LaPorte, Porter, and Starke counties.",Porter,"Lake, LaPorte, Starke",1,www.NWIForum.org,Heather Ennis,Not Readily Available,219.763.6303
Northwest Indiana Forum-B (Lake),Regional Economic Development Organization,"The Northwest Indiana Forum is the regional voice for the business community and the premier source of a full package of services that promote economic development and retention of quality jobs. With more than 130 member organizations, the Forum’s mission is to increase the broad-based wealth in Northwest Indiana through economic development.","Lake, LaPorte, Porter, and Starke counties.",Lake,"Lake, LaPorte, Starke",1,www.NWIForum.org,Heather Ennis,Not Readily Available,219.763.6303
Northwest Indiana Forum-B (LaPorte),Regional Economic Development Organization,"The Northwest Indiana Forum is the regional voice for the business community and the premier source of a full package of services that promote economic development and retention of quality jobs. With more than 130 member organizations, the Forum’s mission is to increase the broad-based wealth in Northwest Indiana through economic development.","Lake, LaPorte, Porter, and Starke counties.",LaPorte,"Lake, LaPorte, Starke",1,www.NWIForum.org,Heather Ennis,Not Readily Available,219.763.6303
