Organization,Category,Mission/Goals,Service Area (Region),County,Also Serving,Region,Website,Contact Person,Email,Phone
Region 1 Works Council (Lake),Regional Works Council,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,Lake,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://in.gov/irwc/region1/index.htm,,,
Region 1 Works Council (Porter),Regional Works Council,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,Porter,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://in.gov/irwc/region1/index.htm,,,
Region 1 Works Council (LaPorte),Regional Works Council,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,LaPorte,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://in.gov/irwc/region1/index.htm,,,
Region 1 Works Council (Newton),Regional Works Council,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,Newton,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://in.gov/irwc/region1/index.htm,,,
Region 1 Works Council (Jasper),Regional Works Council,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,Jasper,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://in.gov/irwc/region1/index.htm,,,
Region 1 Works Council (Starke),Regional Works Council,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,Starke,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://in.gov/irwc/region1/index.htm,,,
Region 1 Works Council (Pulaski),Regional Works Council,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,Pulaski,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://in.gov/irwc/region1/index.htm,,,
Northwest Indiana Workforce Board (Lake),Workforce Investment Board,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,Lake,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://gotoworkonenw.com/nwi-workforce-board/,,,
Northwest Indiana Workforce Board (Porter),Workforce Investment Board,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,Porter,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://gotoworkonenw.com/nwi-workforce-board/,,,
Northwest Indiana Workforce Board (LaPorte),Workforce Investment Board,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,LaPorte,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://gotoworkonenw.com/nwi-workforce-board/,,,
Northwest Indiana Workforce Board (Newton),Workforce Investment Board,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,Newton,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://gotoworkonenw.com/nwi-workforce-board/,,,
Northwest Indiana Workforce Board (Jasper),Workforce Investment Board,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,Jasper,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://gotoworkonenw.com/nwi-workforce-board/,,,
Northwest Indiana Workforce Board (Starke),Workforce Investment Board,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,Starke,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://gotoworkonenw.com/nwi-workforce-board/,,,
Northwest Indiana Workforce Board (Pulaski),Workforce Investment Board,"To mobilize and integrate the leadership, services, and resources of the community to support work-force development. This will be achieved by: 1. Strategically planning and developing policy for workforce development; 2. Overseeing regional workforce development system; 3. Developing and allocating resources for workforce development; and 4. Participating in related economic development activities",,Pulaski,"Lake, Porter, Laporte, Newton, Jasper, Starke, Pulaski",1,http://gotoworkonenw.com/nwi-workforce-board/,,,
Crown Point Community Foundation,Community Foundation,To enrich the quality of life in Crown Point and Northwest Indiana by: providing financial assistance to fund a broad range of community needs maximizing charitable gifts by utilizing current tax law directing resources in a manner tailored to meet donors? specific needs managing endowment assets which will meet philanthropic needs.,,Lake,,1,http://crownpointcommunityfoundation.org/index.php,"Patricia Huber, Executive Director",cpcf@sbcglobal.net,219-662-7252
The Jasper Foundation Inc.,Community Foundation,The purpose of our Foundations is to assist donors in creating a source of assets to meet the ongoing and changing charitable needs and interests of the people living in all of our Jasper and Newton County Communities,,Jasper,,1,http://www.jasperfdn.org/,"Linda Reiners, Executive Director",jasper@liljasper.com,219-866-5899
Legacy Foundation Inc.,Community Foundation,Building a culture of philanthropy across generations that will positively transform Lake County,,Lake,,1,http://www.legacyfdn.org/,"Nancy Johnson, President/Executive Director",njohnson@legacyfoundationlakeco.org,219-736-1880
The Porter County Community Foundation Inc.,Community Foundation,We inspire giving and engage our community to improve lives in Porter County now and forever.,,Porter,,1,http://www.portercountyfoundation.org/,"Brenda Sheetz, Program Administrator",bsheetz@portercountyfoundation.org,219-465-0294
Pulaski County Community Foundation,Community Foundation,The Pulaski County Community Foundation encourages the growth of endowed funds to serve and enrich our community today and tomorrow.,,Pulaski,,1,http://www.pulaskiccf.org/,,wrose@pulaskionline.org,574-946-0906
Unity Foundation of LaPorte County Inc,Community Foundation,"The Unity Foundation will strengthen La Porte County now and forever by: Building permanent endowments,Providing leadership, Offering philanthropic vehicles for everyone, Being a catalyst for social and economic vitality",,LaPorte,,1,http://uflc.net/,"Maggi Spartz, President",mspartz@uflc.net,219-879-0327
Center of Workforce Innovations,Regional Planning Initiative,"The mission of CWI is to be a catalyst for community and business investment in building and aligning workforce, education, and economic development strategies while accelerating economic growth for regions and states.",,Porter,,1,http://www.innovativeworkforce.com/,,,219-462-2940
