Parent,Region,Organization,County,Mission/Goals,,Website,Contact Person,Email,Phone,xpos,ypos
Local and Regional Plan Ecosystem,,Regional Works Council,,,,,,,,263.7918832,961.1455235
Local and Regional Plan Ecosystem,,Workforce Investment Board,,,,,,,,1406.222545,199.3731265
Local and Regional Plan Ecosystem,,Community Foundation,,,,,,,,479.6161623,285.9348266
Local and Regional Plan Ecosystem,,Regional Planning Initiative,,,,,,,,1386.47156,1040.006152
Local and Regional Plan Ecosystem,,Regional School Age Program,,,,,,,,66.23793826,235.4330757
Regional Works Council,1,Region 1 Works Council (Lake),Lake,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region1/index.htm,,,,149.8110011,748.0028466
Regional Works Council,1,Region 1 Works Council (Porter),Porter,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region1/index.htm,,,,58.56986338,623.1664532
Regional Works Council,1,Region 1 Works Council (LaPorte),LaPorte,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region1/index.htm,,,,47.81599126,703.1517457
Regional Works Council,1,Region 1 Works Council (Newton),Newton,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region1/index.htm,,,,154.5123941,674.0902419
Regional Works Council,1,Region 1 Works Council (Jasper),Jasper,The Works Councils are chargedÿwith facilitating sector partnerships within their region and enhancing the career readiness of Hoosier adults and high school students through the development and support of innovative career and technical education (CTE) curricula,,http://in.gov/irwc/region1/index.htm,,,,145.4051385,712.7726513
